taxon_name_original,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Austrocedrus chilensis,BestMatch,9.41215,Exact,0,Austrocedrus chilensis,Austrocedrus chilensis (D.Don) Pic.Serm. & Bizzarri,Austrocedrus chilensis,JVXR,Austrocedrus chilensis (D.Don) Pic.Serm. & Bizzarri,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Cupressidae|Cupressales|Cupressaceae|Austrocedrus|Austrocedrus chilensis,
Austrocylindropuntia floccosa,BestMatch,9.41215,Exact,0,Austrocylindropuntia floccosa,Austrocylindropuntia floccosa (Salm-Dyck) F.Ritter,Austrocylindropuntia floccosa,JW9G,Austrocylindropuntia floccosa (Salm-Dyck) F.Ritter,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Cactaceae|Opuntioideae|Pterocacteae|Austrocylindropuntia|Austrocylindropuntia floccosa,
Austrocylindropuntia subulata,BestMatch,9.41215,Exact,0,Austrocylindropuntia subulata,Austrocylindropuntia subulata (Muehlenpf.) Backeb.,Austrocylindropuntia subulata,5W9DR,Austrocylindropuntia subulata (Muehlenpf.) Backeb.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Cactaceae|Opuntioideae|Pterocacteae|Austrocylindropuntia|Austrocylindropuntia subulata,
Avenella flexuosa,BestMatch,9.41215,Exact,0,Avenella flexuosa,Avenella flexuosa (L.) Drejer,Avenella flexuosa,K2W4,Avenella flexuosa (L.) Drejer,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Avenella|Avenella flexuosa,
Avenula pratensis,BestMatch,9.41180,Exact,0,Avenula pratensis,Avenula pratensis (L.) Dumort.,Avenula pratensis,K2YY,Helictochloa pratensis (L.) Romero Zarco,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Helictochloa|Helictochloa pratensis,
Averrhoa bilimbi,BestMatch,9.41215,Exact,0,Averrhoa bilimbi,Averrhoa bilimbi L.,Averrhoa bilimbi,K326,Averrhoa bilimbi L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Oxalidales|Oxalidaceae|Averrhoideae|Averrhoa|Averrhoa bilimbi,
Averrhoa carambola,BestMatch,9.41215,Exact,0,Averrhoa carambola,Averrhoa carambola L.,Averrhoa carambola,K327,Averrhoa carambola L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Oxalidales|Oxalidaceae|Averrhoideae|Averrhoa|Averrhoa carambola,
Avonia confusa sta. nov. spec. nov.,BestMatch,9.41215,Exact,0,Avonia confusa sta. nov. spec. nov.,Avonia confusa G.Will.,Avonia confusa,K3DD,Avonia confusa G.Will.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Anacampserotaceae|Avonia|Avonia confusa,
Avonia gariepensis,BestMatch,9.41215,Exact,0,Avonia gariepensis,Avonia gariepensis G.Will.,Avonia gariepensis,K3DF,Avonia gariepensis G.Will.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Anacampserotaceae|Avonia|Avonia gariepensis,
Avonia sp.,BestMatch,8.63917,Exact,0,Avonia sp.,Avonia (E.Mey. ex Fenzl) G.D.Rowley,Avonia,36QL,Avonia (E.Mey. ex Fenzl) G.D.Rowley,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Anacampserotaceae|Avonia,
Ayensua uaipanensis,BestMatch,9.41180,Exact,0,Ayensua uaipanensis,Ayensua uaipanensis (Maguire) L.B.Sm.,Ayensua uaipanensis,K4W7,Brocchinia uaipanensis (Maguire) Givnish,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Brocchinia|Brocchinia uaipanensis,
Aylostera nivosa,BestMatch,8.63917,PartialExact,0,Aylostera nivosa,Aylostera Speg.,Aylostera,62FH5,Aylostera Speg.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Cactaceae|Cactoideae|Cereeae|Aylosterinae|Aylostera,
Azara lanceolata,BestMatch,9.41215,Exact,0,Azara lanceolata,Azara lanceolata Hook.fil.,Azara lanceolata,K5JH,Azara lanceolata Hook.fil.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Salicaceae|Prockieae|Azara|Azara lanceolata,
Azara microphylla,BestMatch,9.41215,Exact,0,Azara microphylla,Azara microphylla Hook.fil.,Azara microphylla,K5JL,Azara microphylla Hook.fil.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Salicaceae|Prockieae|Azara|Azara microphylla,
Azolla caroliniana,BestMatch,9.41215,Exact,0,Azolla caroliniana,Azolla caroliniana Willd.,Azolla caroliniana,67YLV,Azolla caroliniana Willd.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Polypodiopsida|Salviniales|Salviniaceae|Azolla|Azolla caroliniana,
Azolla filiculoides,BestMatch,9.41215,Exact,0,Azolla filiculoides,Azolla filiculoides Lam.,Azolla filiculoides,67YM7,Azolla filiculoides Lam.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Polypodiopsida|Salviniales|Salviniaceae|Azolla|Azolla filiculoides,
Azorina vidalii,BestMatch,9.41180,Exact,0,Azorina vidalii,Azorina vidalii (H.C.Watson) Feer,Azorina vidalii,K5VT,Campanula vidalii H.C.Watson,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Campanulaceae|Campanuloideae|Campanuleae|Campanula|Campanula vidalii,
Baccharis glomeruliflora,BestMatch,9.41215,Exact,0,Baccharis glomeruliflora,Baccharis glomeruliflora Pers.,Baccharis glomeruliflora,K78P,Baccharis glomeruliflora Pers.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Astereae|Baccharidinae|Baccharis|Baccharis glomeruliflora,
Baccharis halimifolia,BestMatch,9.41215,Exact,0,Baccharis halimifolia,Baccharis halimifolia L.,Baccharis halimifolia,K79D,Baccharis halimifolia L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Astereae|Baccharidinae|Baccharis|Baccharis halimifolia,
Bacopa madagascariensis,BestMatch,9.41215,Exact,0,Bacopa madagascariensis,Bacopa madagascariensis (Benth.) Pennell,Bacopa madagascariensis,K99V,Bacopa madagascariensis (Benth.) Pennell,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Gratioloideae|Gratioleae|Bacopa|Bacopa madagascariensis,
Bacopa monnieri,BestMatch,9.41215,Exact,0,Bacopa monnieri,Bacopa monnieri (L.) Pennell,Bacopa monnieri,5VYG8,Bacopa monnieri (L.) Pennell,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Gratioloideae|Gratioleae|Bacopa|Bacopa monnieri,
Bactris gasipaes,BestMatch,9.41215,Exact,0,Bactris gasipaes,Bactris gasipaes Kunth,Bactris gasipaes,5VZXW,Bactris gasipaes Kunth,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Arecales|Arecaceae|Bactris|Bactris gasipaes,
Baeckea virgata,BestMatch,9.41180,Exact,0,Baeckea virgata,Baeckea virgata (J.R.Forst. & G.Forst.) Andrews,Baeckea virgata,KC6H,Sannantha virgata (J.R.Forst. & G.Forst.) Peter G.Wilson,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Myrtales|Myrtaceae|Myrtoideae|Chamelaucieae|Hysterobaeckeinae|Sannantha|Sannantha virgata,
Baikiaea plurijuga,BestMatch,9.41215,Exact,0,Baikiaea plurijuga,Baikiaea plurijuga Harms,Baikiaea plurijuga,5WB4F,Baikiaea plurijuga Harms,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Baikiaea|Baikiaea plurijuga,
Bakoa lucens,BestMatch,9.41215,Exact,0,Bakoa lucens,Bakoa lucens (Bogner) P.C.Boyce & S.Y.Wong,Bakoa lucens,KF46,Bakoa lucens (Bogner) P.C.Boyce & S.Y.Wong,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Alismatales|Araceae|Bakoa|Bakoa lucens,
Bakoa sp.,BestMatch,8.63917,Exact,0,Bakoa sp.,Bakoa P.C.Boyce & S.Y.Wong,Bakoa,8VVFH,Bakoa P.C.Boyce & S.Y.Wong,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Alismatales|Araceae|Bakoa,
Balaka longirostris,BestMatch,9.41215,Exact,0,Balaka longirostris,Balaka longirostris Becc.,Balaka longirostris,KF9J,Balaka longirostris Becc.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Arecales|Arecaceae|Balaka|Balaka longirostris,
Balbisia peduncularis,BestMatch,9.41215,Exact,0,Balbisia peduncularis,Balbisia peduncularis (Lindl.) D.Don,Balbisia peduncularis,KGFX,Balbisia peduncularis (Lindl.) D.Don,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Geraniales|Francoaceae|Vivianioideae|Balbisia|Balbisia peduncularis,
Baldellia ranunculoides,BestMatch,9.41215,Exact,0,Baldellia ranunculoides,Baldellia ranunculoides (L.) Parl.,Baldellia ranunculoides,KGPG,Baldellia ranunculoides (L.) Parl.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Alismatales|Alismataceae|Baldellia|Baldellia ranunculoides,
Baldellia repens,BestMatch,9.41215,Exact,0,Baldellia repens,Baldellia repens (Lam.) Ooststr.,Baldellia repens,KGPH,Baldellia repens (Lam.) Ooststr.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Alismatales|Alismataceae|Baldellia|Baldellia repens,
Ballota acetabulosa,BestMatch,9.41180,Exact,0,Ballota acetabulosa,Ballota acetabulosa (L.) Benth.,Ballota acetabulosa,KHLT,Pseudodictamnus acetabulosus (L.) Salmaki & Siadati,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Lamioideae|Marrubieae|Pseudodictamnus|Pseudodictamnus acetabulosus,
Ballota africana,BestMatch,9.41180,Exact,0,Ballota africana,Ballota africana (L.) Benth.,Ballota africana,KHLX,Pseudodictamnus africanus (L.) Salmaki & Siadati,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Lamioideae|Marrubieae|Pseudodictamnus|Pseudodictamnus africanus,
Ballota hirsuta,BestMatch,9.41180,Exact,0,Ballota hirsuta,Ballota hirsuta Benth.,Ballota hirsuta,KHMX,Pseudodictamnus hirsutus (Willd.) Salmaki & Siadati,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Lamioideae|Marrubieae|Pseudodictamnus|Pseudodictamnus hirsutus,
Ballota pseudodictamnus,BestMatch,9.41180,Exact,0,Ballota pseudodictamnus,Ballota pseudodictamnus (L.) Benth.,Ballota pseudodictamnus,KHNV,Pseudodictamnus mediterraneus subsp. mediterraneus,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Lamioideae|Marrubieae|Pseudodictamnus|Pseudodictamnus mediterraneus|Pseudodictamnus mediterraneus mediterraneus,
Balsamocarpon brevifolium,BestMatch,9.41215,Exact,0,Balsamocarpon brevifolium,Balsamocarpon brevifolium Clos,Balsamocarpon brevifolium,KHYB,Balsamocarpon brevifolium Clos,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Balsamocarpon|Balsamocarpon brevifolium,
Balsamorhiza hookeri,BestMatch,9.41215,Exact,0,Balsamorhiza hookeri,Balsamorhiza hookeri (Hook.) Nutt.,Balsamorhiza hookeri,KHZV,Balsamorhiza hookeri (Hook.) Nutt.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Heliantheae|Engelmanniinae|Balsamorhiza|Balsamorhiza hookeri,
Balsamorhiza rosea,BestMatch,9.41215,Exact,0,Balsamorhiza rosea,Balsamorhiza rosea A.Nelson & J.F.Macbr.,Balsamorhiza rosea,KJ24,Balsamorhiza rosea A.Nelson & J.F.Macbr.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Heliantheae|Engelmanniinae|Balsamorhiza|Balsamorhiza rosea,
Balsamorhiza sagittata,BestMatch,9.41180,Exact,0,Balsamorhiza sagittata,Balsamorhiza sagittata (Pursh) Nutt.,Balsamorhiza sagittata,KJ25,Wyethia sagittata (Pursh) Mabb.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Heliantheae|Engelmanniinae|Wyethia|Wyethia sagittata,
Bambusa sp.,BestMatch,8.63917,Exact,0,Bambusa sp.,Bambusa Schreb.,Bambusa,8VVG4,Bambusa Schreb.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Bambusa,
Bambusa tuldoides,BestMatch,9.41215,Exact,0,Bambusa tuldoides,Bambusa tuldoides Munro,Bambusa tuldoides,KJS6,Bambusa tuldoides Munro,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Bambusa|Bambusa tuldoides,
Banisteriopsis caapi,BestMatch,9.41215,Exact,0,Banisteriopsis caapi,Banisteriopsis caapi (Spruce ex Griseb.) C.V.Morton,Banisteriopsis caapi,KKRD,Banisteriopsis caapi (Spruce ex Griseb.) C.V.Morton,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Malpighiaceae|Malpighioideae|Gaudichaudieae|Banisteriopsis|Banisteriopsis caapi,
Banksia aemula,BestMatch,9.41215,Exact,0,Banksia aemula,Banksia aemula R.Br.,Banksia aemula,KKYV,Banksia aemula R.Br.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Proteales|Proteaceae|Grevilleoideae|Banksieae|Banksiinae|Banksia|Banksia aemula,
Banksia caleyi,BestMatch,9.41215,Exact,0,Banksia caleyi,Banksia caleyi R.Br.,Banksia caleyi,KL24,Banksia caleyi R.Br.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Proteales|Proteaceae|Grevilleoideae|Banksieae|Banksiinae|Banksia|Banksia caleyi,
Banksia ericifolia,BestMatch,9.41215,Exact,0,Banksia ericifolia,Banksia ericifolia L.fil.,Banksia ericifolia,KL3P,Banksia ericifolia L.fil.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Proteales|Proteaceae|Grevilleoideae|Banksieae|Banksiinae|Banksia|Banksia ericifolia,
Banksia integrifolia,BestMatch,9.41215,Exact,0,Banksia integrifolia,Banksia integrifolia L.fil.,Banksia integrifolia,KL59,Banksia integrifolia L.fil.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Proteales|Proteaceae|Grevilleoideae|Banksieae|Banksiinae|Banksia|Banksia integrifolia,
Banksia robur,BestMatch,9.41215,Exact,0,Banksia robur,Banksia robur Cav.,Banksia robur,KL8S,Banksia robur Cav.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Proteales|Proteaceae|Grevilleoideae|Banksieae|Banksiinae|Banksia|Banksia robur,
Banksia serrata,BestMatch,9.41215,Exact,0,Banksia serrata,Banksia serrata L.fil.,Banksia serrata,68CCL,Banksia serrata L.fil.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Proteales|Proteaceae|Grevilleoideae|Banksieae|Banksiinae|Banksia|Banksia serrata,
Banksia sp.,BestMatch,8.63917,Exact,0,Banksia sp.,Banksia L.fil.,Banksia,37VB,Banksia L.fil.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Proteales|Proteaceae|Grevilleoideae|Banksieae|Banksiinae|Banksia,
Baptisia australis,BestMatch,9.41215,Exact,0,Baptisia australis,Baptisia australis (L.) R.Br.,Baptisia australis,KLPG,Baptisia australis (L.) R.Br.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Baptisia|Baptisia australis,
Baptisia bracteata,BestMatch,9.41215,Exact,0,Baptisia bracteata,Baptisia bracteata Muhl. ex Elliott,Baptisia bracteata,KLPJ,Baptisia bracteata Muhl. ex Elliott,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Baptisia|Baptisia bracteata,
Baptisia hybr.,BestMatch,9.41215,Exact,0,Baptisia hybr.,Baptisia Vent.,Baptisia,9CK48,Baptisia Vent.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Baptisia,
Baptisia lactea,BestMatch,9.41215,Exact,0,Baptisia lactea,Baptisia lactea (Raf.) Thieret,Baptisia lactea,KLQ5,Baptisia lactea (Raf.) Thieret,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Baptisia|Baptisia lactea,
Baptisia leucantha,BestMatch,9.41180,Exact,0,Baptisia leucantha,Baptisia leucantha Torr. & A.Gray,Baptisia leucantha,KLQ9,Baptisia lactea var. lactea,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Baptisia|Baptisia lactea|Baptisia lactea lactea,
Baptisia leucophaea,BestMatch,9.41215,Exact,0,Baptisia leucophaea,Baptisia leucophaea Nutt.,Baptisia leucophaea,5WC3Y,Baptisia leucophaea Nutt.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Baptisia|Baptisia leucophaea,
Baptisia minor,BestMatch,9.41180,Exact,0,Baptisia minor,Baptisia minor Lehm.,Baptisia minor,KLQD,Baptisia australis var. minor (Lehm.) Fernald,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Baptisia|Baptisia australis|Baptisia australis minor,
Baptisia perfoliata,BestMatch,9.41215,Exact,0,Baptisia perfoliata,Baptisia perfoliata (L.) R.Br.,Baptisia perfoliata,KLQL,Baptisia perfoliata (L.) R.Br.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Baptisia|Baptisia perfoliata,
Baptisia sphaerocarpa,BestMatch,9.41215,Exact,0,Baptisia sphaerocarpa,Baptisia sphaerocarpa Nutt.,Baptisia sphaerocarpa,KLQT,Baptisia sphaerocarpa Nutt.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Baptisia|Baptisia sphaerocarpa,
Baptisia tinctoria,BestMatch,9.41215,Exact,0,Baptisia tinctoria,Baptisia tinctoria (L.) R.Br.,Baptisia tinctoria,9CPWS,Baptisia tinctoria (L.) R.Br.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Baptisia|Baptisia tinctoria,
Barbacenia purpurea,BestMatch,9.41215,Exact,0,Barbacenia purpurea,Barbacenia purpurea Hook.,Barbacenia purpurea,KM2D,Barbacenia purpurea Hook.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Pandanales|Velloziaceae|Barbacenia|Barbacenia purpurea,
Barbarea vulgaris,BestMatch,9.41215,Exact,0,Barbarea vulgaris,Barbarea vulgaris W.T.Aiton,Barbarea vulgaris,KM6S,Barbarea vulgaris W.T.Aiton,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Capparales|Brassicaceae|Brassicoideae|Cardamineae|Barbarea|Barbarea vulgaris,
Barbosella cucullata,BestMatch,9.41215,Exact,0,Barbosella cucullata,Barbosella cucullata (Lindl.) Schltr.,Barbosella cucullata,KMNY,Barbosella cucullata (Lindl.) Schltr.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Barbosella|Barbosella cucullata,
Barbosella gardneri,BestMatch,9.41215,Exact,0,Barbosella gardneri,Barbosella gardneri (Lindl.) Schltr.,Barbosella gardneri,KMP3,Barbosella gardneri (Lindl.) Schltr.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Barbosella|Barbosella gardneri,
Barclaya longifolia,BestMatch,9.41215,Exact,0,Barclaya longifolia,Barclaya longifolia Wall.,Barclaya longifolia,68C89,Barclaya longifolia Wall.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Nymphaeales|Nymphaeaceae|Nymphaeoideae|Nymphaeeae|Barclaya|Barclaya longifolia,
Barkeria obovata,BestMatch,9.41215,Exact,0,Barkeria obovata,Barkeria obovata (C.Presl) Christenson,Barkeria obovata,KR82,Barkeria obovata (C.Presl) Christenson,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Barkeria|Barkeria obovata,
Barkeria scandens,BestMatch,9.41215,Exact,0,Barkeria scandens,Barkeria scandens (Lex.) Dressler & Halb.,Barkeria scandens,KR84,Barkeria scandens (Lex.) Dressler & Halb.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Barkeria|Barkeria scandens,
Barleria albostellata,BestMatch,9.41215,Exact,0,Barleria albostellata,Barleria albostellata C.B.Clarke,Barleria albostellata,KRHT,Barleria albostellata C.B.Clarke,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Barlerieae|Barleria|Barleria albostellata,
Barleria alluaudii,BestMatch,9.41215,Exact,0,Barleria alluaudii,Barleria alluaudii Benoist,Barleria alluaudii,5WDS4,Barleria alluaudii Benoist,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Barlerieae|Barleria|Barleria alluaudii,
Barleria crassa,BestMatch,9.41215,Exact,0,Barleria crassa,Barleria crassa C.B.Clarke,Barleria crassa,KRLD,Barleria crassa C.B.Clarke,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Barlerieae|Barleria|Barleria crassa,
Barleria elegans,BestMatch,9.41215,Exact,0,Barleria elegans,Barleria elegans S.Moore,Barleria elegans,KRMC,Barleria elegans S.Moore,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Barlerieae|Barleria|Barleria elegans,
Barleria lupulina,BestMatch,9.41215,Exact,0,Barleria lupulina,Barleria lupulina Lindl.,Barleria lupulina,KRQT,Barleria lupulina Lindl.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Barlerieae|Barleria|Barleria lupulina,
Barleria obtusa,BestMatch,9.41215,Exact,0,Barleria obtusa,Barleria obtusa Nees,Barleria obtusa,KRSH,Barleria obtusa Nees,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Barlerieae|Barleria|Barleria obtusa,
Barleria prionitis,BestMatch,9.41215,Exact,0,Barleria prionitis,Barleria prionitis L.,Barleria prionitis,KRTP,Barleria prionitis L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Barlerieae|Barleria|Barleria prionitis,
Barleria repens,BestMatch,9.41215,Exact,0,Barleria repens,Barleria repens Nees,Barleria repens,68DTL,Barleria repens Nees,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Barlerieae|Barleria|Barleria repens,
Basselinia gracilis,BestMatch,9.41215,Exact,0,Basselinia gracilis,Basselinia gracilis (Brongn. & Gris) Vieill.,Basselinia gracilis,KV87,Basselinia gracilis (Brongn. & Gris) Vieill.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Arecales|Arecaceae|Basselinia|Basselinia gracilis,
Batrachium aquatile,BestMatch,9.41180,Exact,0,Batrachium aquatile,Batrachium aquatile (L.) Wimm.,Batrachium aquatile,KZDK,Ranunculus aquatilis L.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Ranunculoideae|Ranunculeae|Ranunculus|Ranunculus aquatilis,
Batrachium baudotii,BestMatch,9.41180,Exact,0,Batrachium baudotii,Batrachium baudotii (Godr.) F.W.Schultz,Batrachium baudotii,KZDR,Ranunculus baudotii Godr.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Ranunculoideae|Ranunculeae|Ranunculus|Ranunculus baudotii,
Batrachium circinatum,BestMatch,9.41180,Exact,0,Batrachium circinatum,Batrachium circinatum (Sibth.) Spach,Batrachium circinatum,5WG6J,Ranunculus circinatus Sibth.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Ranunculoideae|Ranunculeae|Ranunculus|Ranunculus circinatus,
